;Kruskal;BFS;A-Star;IDA;path Length
658;27209;27794;19017;12581;74
659;27502;28087;11703;5559;78
660;28087;27794;21650;11703;66
661;27794;28672;14921;7899;66
662;27795;27209;11996;5851;78
663;28965;25746;21357;29549;106
664;28087;22821;11703;5851;78
665;27501;27209;21358;16091;78
666;27210;22528;14922;7314;78
667;28965;29257;28087;59392;102
668;28087;22236;16091;11117;94
669;28087;27502;22528;105326;114
670;31013;26624;14629;8192;74
671;30135;22821;11411;6729;78
672;28087;25454;17847;8777;86
673;28379;19603;11410;8192;70
674;28379;22820;10533;5559;70
675;30427;31890;16970;8484;90
676;28380;29550;14629;7900;74
677;28379;28965;26332;29257;90
678;28672;26624;29257;14336;70
679;28672;28380;17262;9655;90
680;28380;21065;11411;5559;82
681;28965;27502;15799;7021;86
682;28087;27209;22820;13458;78
683;28379;16384;11703;7900;70
684;29257;25162;21065;106789;122
685;28380;28965;11117;6144;78
686;28087;23405;10825;5266;70
687;39497;26038;16092;7607;86
688;38912;136339;16969;8485;90
689;29257;31012;25747;14629;86
690;28672;29550;17847;8777;86
691;28087;24576;12581;6729;78
692;27795;26331;10825;5559;70
693;28087;28672;19310;9948;90
694;27794;22528;19602;48567;110
695;28379;26331;11703;7607;70
696;27794;27502;18432;20187;98
697;28087;24868;15506;6729;74
698;27795;27794;24576;15799;94
699;28087;26039;9655;4974;66
700;28087;28379;30720;92160;122
701;28380;25453;19603;32183;102
702;28380;27210;17554;5267;74
703;29257;28672;14921;8192;74
704;27502;28965;14044;6436;74
705;27209;21358;9655;4681;62
706;27502;26039;11703;8192;74
707;28087;23991;23113;12288;94
708;28087;28672;18139;18432;94
709;28087;28380;16384;9069;78
710;27502;28379;15506;9948;78
711;28379;26624;27502;40668;106
712;27502;22820;12581;6437;74
713;27209;28965;20480;14921;98
714;27794;24868;11996;9070;82
715;28087;26624;15799;9070;78
716;26917;24284;13751;16677;86
717;28087;25454;14043;5852;78
718;28087;25161;23406;14629;78
719;28379;28087;18724;7900;74
720;28087;21650;12874;8484;82
721;28087;29842;18432;55004;114
722;27794;28087;19310;15507;94
723;28672;29550;31306;98304;130
724;30134;28672;23113;9362;86
725;28086;28965;11995;5559;82
726;28087;28964;13459;7314;78
727;28087;23113;24283;11703;70
728;27502;28380;15506;7900;86
729;28087;25454;12873;6437;62
730;26916;21066;12288;5559;62
731;28379;27209;12581;6144;82
732;27502;30428;22235;5559;86
733;28087;25162;11703;7899;78
734;28087;29257;27209;13751;90
735;27794;28380;22820;17554;94
736;27795;26917;12288;8192;70
737;28379;26917;9362;5559;74
738;28087;27502;14629;7314;94
739;27794;24869;10240;6144;66
740;27795;16969;11995;7314;82
741;27502;20480;11703;5558;82
742;28380;24869;11703;4682;78
743;27794;27794;11410;6729;62
744;27209;26039;21066;30720;98
745;27502;29257;25161;10532;102
746;28087;29257;18140;31306;102
747;28965;32768;26039;15507;82
748;28087;25746;16676;19895;94
749;28672;26916;18432;10532;74
750;28672;29257;12873;10825;78
751;28087;26332;12288;6144;70
752;28380;51785;18139;8485;106
