135;301349;275310;106496;3965807;464
136;291108;263607;113811;71972;364
137;286427;234643;68462;91867;320
138;289353;234349;186953;2239635;396
139;290817;256585;124343;1585445;400
140;300471;311296;275895;96841;256
141;290231;229961;186368;87479;276
142;291986;239323;201875;509367;364
143;289353;226743;95378;73728;292
144;289938;244590;67876;28672;264
145;288475;187246;62318;83968;320
146;287890;271214;68461;35401;348
147;288475;225866;151552;207725;328
148;289061;275895;181394;8416112;516
149;294327;253952;76654;43593;272
150;288475;219429;45641;71387;244
151;287598;223524;259804;93330;268
152;287890;273846;128439;79286;356
153;287890;256292;107959;52078;304
154;290231;207433;113518;1899374;432
155;291694;270044;167059;3277678;452
156;291402;266532;231717;404333;364
157;287891;230254;41545;54126;248
158;289938;241957;107081;2740517;412
159;293742;236983;158574;3973706;460
160;309541;202167;79872;28379;332
161;289353;313344;120247;63196;304
162;287305;282624;167351;1371283;396
163;290231;270629;221477;4931000;472
164;729381;309248;269751;2989203;400
165;291401;245468;215918;81042;344
166;290816;176128;70802;38619;304
167;291109;274140;172617;4454986;496
168;290816;214747;68169;65244;300
169;305444;220599;77824;53248;280
170;291987;308370;83383;67292;356
171;289353;219429;92745;357815;308
172;297838;272969;87771;60562;328
173;289939;216210;213577;2489491;408
174;292279;195145;90697;345235;332
175;289353;231716;121418;356352;332
176;286428;258925;70217;39789;324
177;293449;202167;107374;65829;304
178;290816;273261;262729;2634314;388
179;290816;257755;103863;81334;304
180;288476;196315;99767;36864;288
181;288476;269751;122880;64074;344
182;288183;175543;69632;115858;324
183;288769;201582;147456;642194;352
184;295790;242542;137801;2518455;420
185;293156;249271;64658;41545;328
186;287598;268873;203630;3253688;428
187;288768;216796;65536;36572;256
188;287598;203044;118492;48567;268
189;290231;229668;164133;4146616;532
190;292279;248101;165595;1208320;380
191;289353;236398;68754;69925;260
192;289060;239031;175251;1412535;332
193;289353;264484;96841;1584275;428
194;291401;266826;107081;130486;336
195;297545;305737;183442;1757477;356
196;295205;221769;116736;127268;344
197;294912;212114;97427;53540;256
198;290524;216210;110885;79872;312
199;288475;272091;65828;34816;356
200;289354;246638;90697;88649;344
201;285257;264777;108252;2503827;396
202;290524;271506;191049;2934200;388
203;291694;266825;73728;38619;364
204;288768;176128;109715;1825354;448
205;290523;179347;128146;150674;312
206;289353;230254;107666;61440;344
207;287305;205386;59099;51493;272
208;289353;225865;59977;36278;312
209;292864;282624;265655;165302;348
210;289353;232887;67584;40375;296
211;288475;272092;196900;2019036;404
212;291694;270629;129902;69632;344
213;287305;229669;70509;40083;320
214;286720;219429;50322;28379;280
215;288476;213870;88064;45934;312
216;289061;234642;133706;2297857;452
217;297252;254538;148334;2127287;396
218;289353;237568;52955;41253;276
219;301934;171739;94501;685495;376
220;289939;259219;107373;399653;348
221;287890;251319;61148;107666;320
222;288476;244882;98012;56759;312
223;287598;232887;101522;1232896;392
224;292279;265655;145701;533943;376
225;289353;264192;56174;56173;280
226;288768;180809;82505;45349;296
227;287013;265070;117613;4990977;432
228;293742;181979;58515;48860;280
229;288768;259803;189879;1865143;416
230;290231;160329;87187;35108;280
231;285842;240494;90697;111177;336
232;291694;196023;58222;28379;296
233;286134;219136;200997;3144558;420
234;290231;205678;126391;4677340;488
235;313052;276480;134875;1112942;400
236;289938;200704;67876;540672;360
237;286427;243126;132535;51785;312
238;288476;210359;112347;229669;372
239;288475;175836;51785;137216;272
240;288768;228791;145408;3295233;428
241;921600;298715;184905;91282;300
242;289061;228499;69047;38327;276
243;288183;200411;67584;43886;272
244;289353;189002;57344;49445;288
245;285842;206263;82213;753956;388
246;289061;266533;100644;194268;376
247;288475;200997;70802;631077;344
248;289060;262437;80749;1641619;396
249;310418;209481;69925;55004;304
250;289353;245175;151845;62318;308
251;291109;274140;131072;1887672;392
252;287597;272676;105619;668234;376
253;286720;276481;124343;56466;324
254;286428;256585;171154;88064;340
255;286428;135753;82212;64073;348
256;303982;201582;81627;459922;396
257;293742;275310;192805;3247251;420
258;313637;259219;138386;1869532;428
259;290231;232594;75483;44471;332
260;288476;179054;83091;461970;376
261;287890;270044;81043;157403;360
262;289354;267410;74313;45348;292
263;289645;213577;84553;57344;308
264;293449;258633;204801;1230263;364
265;289061;225865;81042;168814;352
266;288768;256000;190172;114396;356
267;288475;233472;104156;61440;260
268;301934;212992;71680;46227;332
269;286720;269459;53541;77824;276
270;289353;242541;64658;42423;340
271;287890;223524;76946;48859;308
272;290231;299301;119077;143360;344
273;332362;306030;236105;10615372;532
274;291108;278236;67584;33353;372
275;898780;320074;103278;1009664;388
276;310711;271214;98012;55589;344
277;312174;259511;162670;1184329;420
278;286720;176713;64658;65536;296
279;290524;259511;219721;82212;316
280;292279;277065;76068;163255;344
281;295205;263315;208896;1000887;380
282;359278;279698;145993;2442387;408
283;291694;272092;115273;3792019;420
284;293156;170569;56759;41252;248
285;286427;241664;85431;49152;308
286;289353;243712;134876;1387666;408
287;289353;215040;119662;174958;344
288;299886;291694;158574;1982757;408
289;292864;248978;167058;2541861;460
290;292572;257463;161499;84553;348
291;383854;250733;148041;72558;288
292;290523;251319;205678;799013;336
293;294035;255415;124342;333824;344
294;294034;214455;122002;109714;304
295;296667;272092;175250;61147;332
296;292865;251026;109422;315685;368
297;288475;221476;119954;59977;288
298;288768;265654;203630;97427;300
299;287890;263607;54711;36864;328
300;289060;227328;58807;43008;248
301;288475;234057;119954;1127571;400
302;290524;252782;42423;78994;228
303;289060;267118;171739;66999;284
304;291694;190757;114981;116151;272
305;293157;231424;70802;55589;372
306;290523;270921;188708;4398520;412
307;296960;149504;86893;145993;344
308;308078;277650;275017;7617099;500
309;292572;278528;245175;1733779;384
310;320366;197193;126098;62902;284
311;287013;270921;97134;207725;360
312;289353;225572;104741;649509;388
313;387950;284087;151259;2491246;408
314;296375;179931;91575;297253;316
315;287305;212992;59977;34524;292
316;289938;262145;275310;71680;320
317;289061;229376;192805;2042149;372
318;291987;274724;133412;5294081;520
319;291987;215918;58514;47397;300
320;288475;205093;69925;49444;296
321;289353;268288;93038;1303991;364
322;289938;192512;79287;503808;368
323;288183;227620;67584;40375;288
324;287305;267411;40083;52078;268
325;287598;210944;94794;46227;360
326;292571;322999;116443;766537;376
327;288768;260096;195438;674085;364
328;290524;272969;123758;2001189;404
329;288183;270044;202752;6678822;468
330;298716;273261;132827;666186;352
331;316270;142774;67877;33061;312
332;288183;270336;177591;4348783;448
333;295204;245467;94501;45056;328
334;291694;275017;178176;391754;392
335;286428;268581;69339;43886;332
336;315392;213285;65243;63781;288
337;290230;214748;116443;940032;396
338;309833;281454;114688;52371;356
339;288183;281454;140434;148627;356
340;288476;303104;237861;3890908;444
341;293156;241957;114688;2733788;408
342;293157;260388;145408;3939183;456
343;291694;240494;98889;47982;312
344;315977;217966;124343;680814;372
