;Prim;BFS;A-Star;IDA;path Length
373;22528;26332;21358;10240;70
374;20480;24283;25453;7022;66
375;22821;29550;20187;9070;70
376;21065;30427;20773;5851;74
377;20773;27209;20773;6730;70
378;21065;63488;36571;17261;74
379;23698;28964;12873;4681;62
380;21358;27502;17554;7314;58
381;20773;26331;11703;4388;58
382;22821;27795;14336;9069;62
383;21065;28087;17555;5559;58
384;21065;26039;36864;13458;74
385;21943;36279;16677;9362;66
386;20772;25161;13166;8192;62
387;19603;26624;12288;4389;70
388;20773;19895;16091;3803;62
389;21065;21065;10240;4974;58
390;21065;29258;36571;16969;66
391;20480;25454;13165;7022;62
392;20773;29842;15799;7315;58
393;21357;29257;33354;10240;62
394;22528;33061;30720;12288;74
395;21650;26331;726163;50615;74
396;26332;33645;16676;24284;62
397;23113;37157;30720;14921;78
398;23406;27502;15799;7900;70
399;21650;30135;14336;8485;62
400;20773;30134;18139;7022;62
401;20773;26331;10240;3511;66
402;21650;27209;14921;6437;70
403;21357;26916;16969;6730;74
404;21358;26331;18139;8778;74
405;21066;28379;28965;11410;74
406;21065;29549;17847;10826;62
407;21357;29258;28672;11996;58
408;21357;29549;16676;7022;66
409;21358;29842;13458;8192;58
410;21065;29842;23991;6436;74
411;20772;21358;11703;5851;62
412;21650;29258;15799;5266;70
413;21065;27795;13166;4096;66
414;20480;23113;13458;6729;70
415;20480;29550;27502;11996;66
416;22235;32475;17262;6729;70
417;22820;27209;10825;3803;62
418;22820;30135;19310;11118;58
419;22528;30427;12581;4973;62
420;21650;14336;17847;3803;58
421;21650;31013;12288;4096;62
422;23113;28672;14921;7900;58
423;20772;24576;13166;5852;62
424;21358;21358;10240;3511;58
425;21065;30720;29842;9655;74
426;20188;27209;14921;4681;70
427;20480;24284;15506;7607;62
428;21358;30720;16969;7607;74
429;21065;20480;11995;6144;62
430;20480;23991;14921;5851;66
431;20187;28964;21943;10240;74
432;21357;29549;14043;7607;62
433;20773;28672;21358;9362;66
434;20480;26624;12580;5559;74
435;21065;29550;11995;6437;58
436;21065;29842;29257;11703;66
437;20772;29842;25454;12288;66
438;21943;29550;17262;7022;66
439;21065;29257;18432;13166;74
440;21650;30427;35694;3803;78
441;21065;22235;47104;5852;62
442;21065;29257;17262;7314;62
443;21358;29257;16969;11117;62
444;21357;29257;14921;10240;58
445;21065;19018;11411;4096;62
446;21650;29550;13751;8777;66
447;21358;30135;26624;10825;70
448;21065;25746;9655;3219;58
449;21357;30135;13459;11117;62
450;21358;19895;11703;3511;66
451;21650;30720;17847;7315;62
452;21357;29843;17847;7022;58
453;21066;18432;12288;4974;58
454;21357;29550;25161;11703;58
455;20480;25747;13751;8192;62
456;21650;23406;11410;7607;62
457;21066;29257;23698;4974;70
458;23113;29843;21650;9655;62
459;20480;26039;11703;4389;62
460;20480;28087;11703;4974;70
461;21943;30135;12874;7607;66
462;21358;29549;21358;8485;62
463;20188;20188;13751;4389;70
464;21357;21065;11118;6729;58
465;21357;29842;10533;3219;58
466;20773;30135;17847;7606;70
467;20773;28965;23113;9363;70
468;20187;29842;21358;10533;62
469;20188;30134;14921;6729;78
470;21358;26039;21650;6729;78
471;21066;30427;10825;4096;58
472;21357;30135;14629;4974;66
473;22528;26331;12873;6729;62
474;20480;28087;15798;12288;70
475;21650;27501;14043;4681;58
476;20772;19017;13458;3511;58
477;20480;19602;12580;4096;70
478;20773;26916;11117;4096;66
479;20772;29257;17554;4681;70
480;22236;30427;33061;8777;62
481;20772;22821;13751;7607;62
482;20480;30135;17554;5559;78
483;21358;20187;13165;5559;62
484;23113;30720;22821;10240;58
485;21065;29257;42716;15799;62
486;21942;31305;19310;9070;58
487;21358;23699;10825;4389;66
488;22235;28672;18140;7022;66
489;22821;28965;14921;7900;66
490;24868;32768;14336;8192;58
491;20480;20187;10826;3511;62
492;20480;25453;10241;5266;62
493;21066;24869;16384;13459;70
494;20480;26039;14043;4681;74
495;22528;31013;14044;7021;62
496;21065;28087;20773;7607;66
497;24869;29257;12873;9362;58
498;20188;23991;12874;3804;74
499;20772;18140;9654;7607;58
500;20480;27501;11996;9362;62
